"asv","sample","clr","meas_var","phylum","abundance","id","age_class","sex"
"ASV1014","S23",3.1282140886586,0.0799053964002111,"Firmicutes",27,"Sheep12","Adult","Female"
"ASV1014","S25",3.59733632755024,0.0651951691371581,"Firmicutes",32,"Sheep7","Adult","Female"
"ASV1014","S28",-3.16841114972569,10.0639497923942,"Firmicutes",0,"Sheep17","Lamb","Female"
"ASV1014","S31",-4.29656319390348,8.84829365077141,"Firmicutes",0,"Sheep25","Lamb","Female"
"ASV1014","S32",-2.58933003345709,7.52853894073751,"Firmicutes",0,"Sheep27","Lamb","Male"
"ASV1014","S35",-2.71891803227327,10.2925612921914,"Firmicutes",0,"Sheep30","Lamb","Female"
"ASV1014","S37",-4.69877168671801,17.1983022598418,"Firmicutes",0,"Sheep29","Lamb","Male"
"ASV1014","S40",-4.12785331833067,10.2945230370924,"Firmicutes",0,"Sheep4","Adult","Male"
"ASV1014","S43",4.00871825128432,0.0872288539496565,"Firmicutes",34,"Sheep10","Adult","Male"
"ASV1014","S44",-4.48226973801128,10.2686086491251,"Firmicutes",0,"Sheep11","Adult","Female"
"ASV1014","S45",-3.64541687141019,9.69589349740881,"Firmicutes",0,"Sheep9","Adult","Female"
"ASV1014","S47",-3.56183101466794,13.8587613134891,"Firmicutes",0,"Sheep19","Lamb","Male"
"ASV1014","S52",-3.15673672162699,12.7514049430879,"Firmicutes",0,"Sheep23","Lamb","Male"
"ASV1014","S53",-2.64618924165884,8.271868691628,"Firmicutes",0,"Sheep26","Lamb","Female"
"ASV1014","S54",-3.5219072725727,9.43669177787911,"Firmicutes",0,"Sheep16","Lamb","Male"
"ASV1014","S55",3.24824706648973,0.06188726182128,"Firmicutes",31,"Sheep3","Adult","Female"
"ASV1014","S56",-3.19993718599999,9.8130060816784,"Firmicutes",0,"Sheep1","Adult","Female"
"ASV1014","S59",-2.92229476507747,9.51582976546153,"Firmicutes",0,"Sheep18","Lamb","Female"
"ASV1014","S6",4.19036387435999,0.0503141288025908,"Firmicutes",47,"Sheep2","Adult","Female"
"ASV1014","S60",-2.42264527112537,8.67065497053117,"Firmicutes",0,"Sheep22","Lamb","Female"
"ASV1014","S61",-2.8469339726617,6.99850754983903,"Firmicutes",0,"Sheep21","Lamb","Female"
"ASV1014","S8",-4.875032947965,11.8916155572291,"Firmicutes",0,"Sheep13","Adult","Female"
"ASV1014","S9",-4.49366572378857,9.88824888885045,"Firmicutes",0,"Sheep5","Adult","Male"
"ASV1017","S1",3.30002005438103,0.0808583844447731,"Firmicutes",24,"Sheep8","Adult","Female"
"ASV1017","S10",4.30207455489122,0.0892784500993815,"Firmicutes",27,"Sheep6","Adult","Male"
"ASV1017","S12",-2.90680327046221,7.81898586858589,"Firmicutes",0,"Sheep20","Lamb","Female"
"ASV1017","S14",-2.45044242062227,9.60736279081592,"Firmicutes",0,"Sheep24","Lamb","Male"
"ASV1017","S18",5.15287562722404,0.0527128133014199,"Firmicutes",32,"Sheep28","Lamb","Male"
"ASV1017","S20",-4.99464715907317,11.2287038455272,"Firmicutes",0,"Sheep14","Adult","Female"
"ASV1017","S21",1.99909828048714,0.163646580190139,"Firmicutes",13,"Sheep15","Adult","Male"
"ASV1017","S23",2.11912580229575,0.110961634161218,"Firmicutes",14,"Sheep12","Adult","Female"
"ASV1017","S25",1.84989466707465,0.236956239852195,"Firmicutes",10,"Sheep7","Adult","Female"
"ASV1017","S28",-3.32535549119328,11.5728839797717,"Firmicutes",0,"Sheep17","Lamb","Female"
"ASV1017","S31",1.94886194163391,0.218262786549652,"Firmicutes",9,"Sheep25","Lamb","Female"
"ASV1017","S32",-2.60448958066946,10.9913361350322,"Firmicutes",0,"Sheep27","Lamb","Male"
"ASV1017","S35",-2.74752975367125,11.4410361237303,"Firmicutes",0,"Sheep30","Lamb","Female"
"ASV1017","S37",-3.81544384438436,11.6060327550589,"Firmicutes",0,"Sheep29","Lamb","Male"
"ASV1017","S40",2.28446839425072,0.174781785151692,"Firmicutes",12,"Sheep4","Adult","Male"
"ASV1017","S43",3.52500781228428,0.0726285895901282,"Firmicutes",24,"Sheep10","Adult","Male"
"ASV1017","S44",0.831607856314398,0.298513488244422,"Firmicutes",7,"Sheep11","Adult","Female"
"ASV1017","S45",-3.62054942183826,11.2951070656808,"Firmicutes",0,"Sheep9","Adult","Female"
"ASV1017","S47",3.30134544030883,0.126756539521657,"Firmicutes",16,"Sheep19","Lamb","Male"
"ASV1017","S52",-2.90442705496203,11.0004619491023,"Firmicutes",0,"Sheep23","Lamb","Male"
"ASV1017","S53",5.15673666774332,0.0781588895644089,"Firmicutes",35,"Sheep26","Lamb","Female"
"ASV1017","S54",-3.27721410907344,8.22135092599224,"Firmicutes",0,"Sheep16","Lamb","Male"
"ASV1017","S55",-4.18987916033,8.15661519570084,"Firmicutes",0,"Sheep3","Adult","Female"
"ASV1017","S56",-3.09150132891368,12.6509088339808,"Firmicutes",0,"Sheep1","Adult","Female"
"ASV1017","S59",-2.83159797383492,8.4902715223223,"Firmicutes",0,"Sheep18","Lamb","Female"
"ASV1017","S6",-4.30628873933397,8.68347329786233,"Firmicutes",0,"Sheep2","Adult","Female"
"ASV1017","S60",-2.61431917559476,10.9873389004943,"Firmicutes",0,"Sheep22","Lamb","Female"
"ASV1017","S61",-3.43395595390621,11.7080716888852,"Firmicutes",0,"Sheep21","Lamb","Female"
"ASV1017","S8",1.78223655211285,0.199552462949349,"Firmicutes",11,"Sheep13","Adult","Female"
